stop_id,stop_name,stop_lat,stop_lon
638597,Bollóalja,48.127408,20.688696
638598,Bollóalja,48.127369,20.689020
638599,Középgaradna,48.117413,20.569311
638600,Középgaradna,48.117439,20.569570
638601,Hűtőház,48.096340,20.841729
638604,Szent István-barlang,48.098637,20.621184
638605,Szent István-barlang,48.099065,20.621059
638606,MIK,48.113787,20.703923
638607,MIK,48.114324,20.703551
638608,Diósgyőri Ipari Park,48.093872,20.722163
638609,Diósgyőri Ipari Park,48.094239,20.722292
638610,Kandó Kálmán utca,48.097221,20.705405
638611,Erdő sor,48.132956,20.670645
638612,Erdő sor,48.133519,20.670265
638613,Bábonyi-bérc,48.114988,20.763329
638614,Városház tér,48.103256,20.779038
638615,Városház tér,48.103080,20.779429
638616,SZTK Rendelő,48.090042,20.785732
638617,SZTK Rendelő,48.091060,20.786014
638618,Szinvapark,48.101600,20.791807
638619,Szinvapark,48.102656,20.791843
638620,Szinvapark/Centrum,48.102879,20.789457
638621,Szinvapark/Centrum,48.103093,20.791133
638622,Vörösmarty Mihály utca,48.101035,20.788321
638623,Zsarnai telep,48.120396,20.795680
638625,Zsarnai telep,48.119957,20.795824
638626,Centrum,48.103601,20.789204
638627,Diósgyőri kórház,48.091344,20.723267
638628,Diósgyőri kórház,48.090945,20.724693
638629,Újgyőri piac,48.100592,20.726170
638630,Újgyőri piac,48.101072,20.725943
638631,Újgyőri piac,48.100995,20.725524
638632,Újgyőri piac,48.101006,20.726336
638633,Újgyőri piac,48.101107,20.725223
638637,Kenyérgyár,48.091032,20.711263
638638,Kenyérgyár,48.092001,20.711350
638639,Bajcsy-Zsilinszky út,48.103533,20.797729
638640,Bajcsy-Zsilinszky út,48.103462,20.797906
638641,Gulya-kút,48.129395,20.709530
638642,Gulya-kút,48.129744,20.709302
638643,Népkert,48.095961,20.785630
638644,Népkert,48.096892,20.785816
638645,Balaton utca,48.090325,20.810041
638646,Balaton utca,48.090212,20.810495
638647,Ládi utca,48.083815,20.724079
638648,Sályi István utca,48.078679,20.778696
638649,Sályi István utca,48.078447,20.778433
638650,Fényi Gyula tér,48.084576,20.775283
638651,Olajkutató,48.078769,20.764377
638652,Hatvanötösök útja,48.107731,20.795401
638653,Mészkőbánya,48.077070,20.693601
638654,Mészkőbánya,48.077660,20.694295
638655,Vasúti felüljáró,48.077399,20.783403
638656,Vasúti felüljáró,48.078100,20.783903
638657,Tiszai pályaudvar,48.099274,20.810278
638659,Tiszai pályaudvar,48.099950,20.810047
638660,Tiszai pályaudvar,48.099814,20.810143
638661,Tiszai pályaudvar,48.099874,20.809842
638662,Bolyai Farkas utca,48.088527,20.724103
638663,Bolyai Farkas utca,48.088283,20.723662
638664,Bulgárföld városrész,48.100564,20.714856
638665,Bulgárföld városrész,48.100496,20.713089
638670,Keleti iparterület,48.099148,20.835744
638671,Keleti iparterület,48.099282,20.835247
638672,Vargahegy,48.086230,20.739175
638673,Vargahegy,48.086445,20.738684
638678,Búza tér,48.105344,20.791708
638680,Búza tér,48.104721,20.791541
638684,Búza tér,48.106717,20.791414
638685,Búza tér,48.107043,20.792583
638687,Kis-erenyő,48.122157,20.695883
638688,Kis-erenyő,48.122323,20.695581
638689,Alsó-Majláth,48.104992,20.682082
638690,Alsó-Majláth,48.104746,20.682583
638691,Tiszai pályaudvar,48.099625,20.809873
638694,Tiszai pályaudvar,48.099385,20.809285
638695,Balázs Győző tér,48.103687,20.752197
638696,Balázs Győző tér,48.103563,20.751240
638697,Pereces,48.135446,20.666683
638698,Malom,48.104441,20.798915
638699,Farkas Antal utca,48.063665,20.786332
638700,Salakbánya,48.082977,20.701303
638701,Salakbánya,48.083275,20.701688
638702,Bulgárföld városrész,48.100412,20.713606
638703,Bulgárföld városrész,48.100415,20.713216
638704,Bedegvölgy,48.108126,20.765752
638705,Pünkösd-hegy,48.118178,20.699911
638706,Pünkösd-hegy,48.117572,20.700119
638708,Kassai utca,48.114086,20.794516
638710,Kassai utca,48.114861,20.793455
638711,Balassa utca,48.094820,20.804645
638712,Balassa utca,48.095035,20.804568
643390,Diósgyőri Vár,48.099905,20.691184
643391,Szondi György utca,48.104956,20.813347
643392,Szondi György utca,48.104944,20.813627
643393,Keleti kapu,48.105614,20.837707
643397,Ernye bán utca,48.100957,20.752696
643398,Ernye bán utca,48.100904,20.753276
643399,Bartók Béla utca,48.097472,20.870524
643400,Kertekalja utca,48.101577,20.867715
643401,Toldi utca,48.106392,20.864500
643402,Temető,48.109795,20.862195
643412,Lomb utca,48.078153,20.723195
643415,Felső-Majláth,48.107821,20.676467
643416,LÁEV VP,48.099856,20.703129
643418,Forrásvölgy utca,48.110210,20.778334
643419,Pintes utca,48.114308,20.773966
643420,Sellő utca,48.117631,20.770629
643421,Balázsdiák utca,48.113141,20.775135
643422,Árok utca,48.110133,20.778283
643423,Centrum,48.102983,20.789075
643424,Iskola tér,48.089842,20.802767
643425,Velence utca,48.085596,20.808712
643426,Bornemissza utca,48.086014,20.804930
643427,Vörösmarty Mihály utca,48.099722,20.787123
643475,Nagyváthy utca,48.102973,20.765657
643485,Keleti kapu,48.105765,20.837055
643496,Teleki utca,48.102943,20.772578
643524,Üteg utca,48.103756,20.808222
643525,Üteg utca,48.104655,20.807744
643526,Baross Gábor utca,48.105660,20.808274
