route_id,trip_id,service_id,direction_id,shape_id
15800,2032583,5,0,74249
15800,2032584,5,1,74248
15800,2032585,5,0,74249
15800,2032588,5,1,74248
15800,2032591,5,0,154171
15800,2032592,5,1,154170
15800,2032593,5,0,154171
15800,2032612,5,1,154170
15801,2033334,2,1,84352
15801,2033335,2,0,74276
15801,2033337,2,1,84352
15801,2033338,2,0,74276
15214,2033361,2,0,154157
15214,2033362,2,1,154158
15214,2033363,2,0,154159
15214,2033364,2,1,154158
15214,2033365,2,0,154157
15214,2033366,2,1,154158
15214,2033367,2,0,154159
15214,2033368,2,1,154161
15214,2033369,2,0,154162
15214,2033370,2,1,154161
15214,2033371,2,0,154162
15214,2033374,2,1,154161
15214,2033375,2,0,154162
15214,2033378,2,1,154161
15214,2033379,2,0,154162
15214,2033380,2,1,154161
15214,2033381,2,0,154162
15214,2033382,2,1,154161
15214,2033383,2,0,154162
15214,2033384,2,1,154161
15214,2033385,2,0,154162
15214,2033386,2,1,154161
15214,2033387,2,0,154162
15214,2033388,2,1,154161
15214,2033389,2,0,154162
15214,2033390,2,1,154161
15214,2033404,2,1,154161
15214,2033405,2,0,154162
15214,2033406,2,1,154161
15214,2033407,2,0,154162
15214,2033408,2,1,154161
15214,2033409,2,0,154162
15214,2033410,2,1,154161
15214,2033411,2,0,154162
15214,2033412,2,1,154160
15214,2033413,2,0,154159
15214,2033414,2,1,154160
15214,2034465,2,1,154160
15214,2034483,2,0,154157
22529,2035846,8,0,154184
15172,2036788,11,1,74194
15074,2095153,12,0,74282
15074,2095154,12,1,74283
15074,2095155,12,0,74282
15074,2095156,12,1,74283
15074,2095157,12,0,74282
15074,2095158,12,1,74283
15074,2095159,12,0,74282
15074,2095160,12,1,74283
15074,2095161,12,0,74282
15074,2095162,12,1,74283
15074,2095163,12,0,74282
15074,2095164,12,1,74283
15074,2095165,12,0,74282
15074,2095166,12,1,74283
15074,2095167,12,0,74282
15074,2095168,12,1,74283
15074,2095169,12,0,74282
15074,2095170,12,1,74283
15074,2095171,12,0,74282
15074,2095172,12,1,74283
15074,2095173,12,0,74282
15074,2095174,12,1,74283
15074,2095175,12,0,74282
15074,2095176,12,1,74283
15074,2095177,12,0,74282
15074,2095178,12,1,74283
15074,2095179,12,0,74282
15074,2095180,12,1,74283
15074,2095181,12,0,74282
15074,2095182,12,1,74283
15074,2095183,12,0,74282
15074,2095184,12,1,74283
15074,2095185,12,0,74282
15074,2095186,12,1,74283
15074,2095187,12,0,74282
15074,2095188,12,1,74283
15074,2095189,12,0,74282
15074,2095190,12,1,74283
15074,2095191,12,0,74282
15074,2095192,12,1,74283
15074,2095193,12,0,74282
15074,2095194,12,1,74283
15074,2095195,12,0,74282
15074,2095196,12,1,74283
15074,2095197,12,0,74282
15074,2095198,12,1,74283
15074,2095199,12,0,74282
15074,2095200,12,1,74283
15074,2095201,12,0,74282
15074,2095202,12,1,74283
15074,2095203,12,0,74282
15074,2095204,12,1,74283
15074,2095205,12,0,74282
15074,2095206,12,1,74283
15074,2095207,12,0,74282
15074,2095208,12,1,74283
15074,2095209,12,0,74282
15074,2095210,12,1,74283
15074,2095211,12,0,74282
15074,2095212,12,1,74283
15074,2095213,12,0,74282
15074,2095214,12,1,74283
15074,2095215,12,0,74282
15074,2095216,12,1,74283
15074,2095217,12,0,74282
15074,2095218,12,1,74283
15074,2095219,12,0,74282
15074,2095220,12,1,74283
15074,2095221,12,0,74282
15074,2095222,12,1,74283
15074,2095223,12,0,74282
15074,2095224,12,1,74283
15074,2095225,12,0,74282
15074,2095226,12,1,74283
15074,2095227,12,0,74282
15074,2095228,12,1,74283
15074,2095229,12,0,74282
15074,2095230,12,1,74283
15074,2095231,12,0,74282
15074,2095232,12,1,74283
15074,2095233,12,0,74282
15074,2095234,12,0,74282
15074,2095235,12,1,74283
15074,2095236,12,1,74283
15074,2095237,12,0,74282
15074,2095238,12,1,74283
15074,2095239,12,0,74282
15074,2095240,12,1,74283
15074,2095241,12,0,74282
15074,2095242,12,1,74283
15074,2095243,12,0,74282
15074,2095244,12,1,74283
15074,2095245,12,0,74282
